sub,trial,coh,dir,resp,rt,trialType,prob
0,388,0.05,1,1,2.62455208000029,0,0.75
0,389,1,1,0,0,1,0.75
0,390,1,1,0,0,1,0.75
0,391,1,2,0,0,1,0.75
0,392,0.15,2,2,0.649659660994075,0,0.75
0,393,1,1,0,0,1,0.75
0,394,1,1,0,0,1,0.75
0,395,0.15,2,2,0.487763322424144,0,0.75
0,396,1,1,0,0,1,0.75
0,397,1,1,0,0,1,0.75
0,398,0.15,2,2,0.460498026106507,0,0.75
0,399,1,1,0,0,1,0.75
0,400,0.1,2,2,0.998480360140093,0,0.75
0,401,1,1,0,0,1,0.75
0,402,0.1,2,2,0.48645252478309,0,0.75
0,403,1,1,0,0,1,0.75
0,404,1,1,0,0,1,0.75
0,405,0.05,1,1,1.47319184674416,0,0.75
0,406,1,2,0,0,1,0.75
0,407,0.05,1,1,0.81965689570643,0,0.75
0,408,1,1,0,0,1,0.75
0,409,1,1,0,0,1,0.75
0,410,0.1,1,2,0.378753465425689,0,0.75
0,411,1,1,0,0,1,0.75
0,412,1,2,0,0,1,0.75
0,413,1,1,0,0,1,0.75
0,414,1,1,0,0,1,0.75
0,415,1,1,0,0,1,0.75
0,416,1,1,0,0,1,0.75
0,417,1,1,0,0,1,0.75
0,418,0.05,2,2,0.445289758150466,0,0.75
0,419,1,1,0,0,1,0.75
0,420,0.1,1,1,1.06476353993639,0,0.75
0,421,1,1,0,0,1,0.75
0,422,1,1,0,0,1,0.75
0,423,1,2,0,0,1,0.75
0,424,0.15,2,2,0.448835263610817,0,0.75
0,425,1,1,0,0,1,0.75
0,426,1,1,0,0,1,0.75
0,427,0.15,1,2,0.998173673287965,0,0.75
0,428,1,1,0,0,1,0.75
0,429,1,2,0,0,1,0.75
0,430,1,1,0,0,1,0.75
0,431,1,1,0,0,1,0.75
0,432,1,2,0,0,1,0.75
0,433,0.15,1,1,3.7027973306831,0,0.75
0,434,1,1,0,0,1,0.75
0,435,1,1,0,0,1,0.75
0,436,0.1,1,2,1.17879812110914,0,0.75
0,437,1,1,0,0,1,0.75
0,438,1,2,0,0,1,0.75
0,439,1,2,0,0,1,0.75
0,440,1,1,0,0,1,0.75
0,441,0.1,2,2,0.47205909434706,0,0.75
0,442,1,1,0,0,1,0.75
0,443,1,2,0,0,1,0.75
0,444,0.1,2,2,0.487631472758949,0,0.75
0,445,1,1,0,0,1,0.75
